Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART13-01	Article 13(1)	When placing a product with digital elements on the market, ensure it is designed, developed, and produced in accordance with Annex I Part I.	TokenStream should use the Annex I Part I register as the product-security baseline for architecture, implementation, default configuration, release readiness, and maintenance planning.	Applicable in voluntary manufacturer-like readiness scope	Even without formal CE marking, the voluntary readiness scope needs a traceable bridge from product design and development to Annex I Part I properties.	TokenStream cybersecurity risk assessment should confirm which Annex I Part I requirements apply and how deeply.	Secure-by-design lifecycle; Annex I Part I traceability; architecture and release security review.	OpenChain §2.6 Cybersecurity Risk Assessment; §3.4 Secure Development Properties; §7.1 Technical File	Evidence candidates: Annex I Part I register; architecture documentation; threat model; release security gate.
REQ-CRA-ART13-02	Article 13(2)	Undertake a cybersecurity risk assessment and use the outcome during planning, design, development, production, delivery, and maintenance to minimise risks, prevent incidents, and minimise impact.	TokenStream should perform a product cybersecurity risk assessment covering intended use, self-hosted deployment, admin/API surfaces, corpus data, provider/tool integrations, ingestion, retrieval, and update/distribution lifecycle.	Applicable in voluntary manufacturer-like readiness scope	This is the pivot point after the preliminary requirement register. It converts preliminary applicability into final applicability, implementation depth, and control priorities.	This requirement is the risk assessment itself; outputs should drive final applicability and required capability depth.	Cybersecurity risk assessment; lifecycle integration; threat scenarios; risk treatment; update cadence.	OpenChain §2.6 Cybersecurity Risk Assessment; §3.4.9 Threat Model; §7.1.1-§7.1.2 Technical File risk assessment	Evidence candidates: risk assessment report; risk register; threat model; lifecycle review records.
REQ-CRA-ART13-03A	Article 13(3), first subparagraph	Document and update the cybersecurity risk assessment as appropriate during the support period.	TokenStream should version the risk assessment and update it for significant architecture changes, new exposed interfaces, dependency/service changes, major releases, vulnerability discoveries, and support-period changes.	Applicable in voluntary manufacturer-like readiness scope	TokenStream evolves through provider integrations, MCP support, ingestion processors, frontend/admin features, and deployment topology changes. Static one-time assessment would not support CRA-style evidence.	Risk assessment should define update triggers and review cadence.	Risk assessment governance; change-triggered review; version history; support-period review.	OpenChain §2.4 Sustainability & Review; §2.6 Cybersecurity Risk Assessment; §7.1 Technical File	Evidence candidates: assessment version history; release review checklist; architecture-change review log.
REQ-CRA-ART13-03B	Article 13(3), second subparagraph	Include analysis of cybersecurity risks based on intended purpose, reasonably foreseeable use, conditions of use, operational environment, assets to protect, and expected use time.	TokenStream risk assessment should explicitly define intended use, foreseeable misuse, self-hosted operational assumptions, protected assets, trust boundaries, external dependencies, and expected support/use period.	Applicable in voluntary manufacturer-like readiness scope	TokenStream sits behind client applications and can be deployed in different environments. The risk picture depends heavily on whether services are exposed publicly, what corpora contain, which providers/tools are enabled, and how operators manage secrets.	This is core risk assessment content and should be completed before final control design.	Product context; asset inventory; data-flow mapping; trust boundaries; deployment assumptions; foreseeable misuse analysis.	OpenChain §2.6 Cybersecurity Risk Assessment; §3.4.9 Threat Model; §7.1.1-§7.1.2 Technical File	Evidence candidates: asset register; deployment assumptions; data-flow diagram; misuse cases; support-period rationale.
REQ-CRA-ART13-03C	Article 13(3), third subparagraph	Indicate whether and how Annex I Part I 2 requirements apply and are implemented; indicate how Annex I Part I 1 and Annex I Part II vulnerability handling requirements are applied.	TokenStream should turn the preliminary Annex I Part I and Part II registers into final applicability decisions, implementation rationale, and required security capabilities after the risk assessment.	Applicable in voluntary manufacturer-like readiness scope	This directly confirms our process: preliminary register first, then risk assessment, then final applicability and capability/control mapping.	Risk assessment must provide the rationale for final applicability and implementation depth.	Requirement applicability method; traceability; final requirement register; control mapping inputs.	OpenChain §2.6 Cybersecurity Risk Assessment; §7.1 Technical File; Appendix mapping table	Evidence candidates: finalized requirement register; risk-to-requirement mapping; control library inputs.
REQ-CRA-ART13-04	Article 13(4)	Include the cybersecurity risk assessment in technical documentation and clearly justify any non-applicable essential cybersecurity requirements.	TokenStream should maintain a technical-file-style evidence package containing the risk assessment and explicit justifications for requirements marked not applicable or conditionally applicable.	Applicable for voluntary technical file; formal obligation conditional on market placement	Although the current target excludes CE marking, a voluntary technical file supports self-certification readiness and prevents weak N/A decisions.	Risk assessment should support each N/A or conditional-applicability rationale.	Technical documentation; N/A rationale; evidence package management; legal-scope marker.	OpenChain §7.1 Technical File; §2.6 Cybersecurity Risk Assessment	Evidence candidates: technical file index; N/A rationale register; risk assessment attachment.
REQ-CRA-ART13-05	Article 13(5)	Exercise due diligence when integrating third-party components, including non-commercial FOSS, so they do not compromise product cybersecurity.	TokenStream should assess third-party Python/npm dependencies, container images, base images, external services, optional Open WebUI, Qdrant, MinIO, TEI, and FOSS components before and during integration.	Applicable in voluntary manufacturer-like readiness scope	TokenStream depends on many third-party and FOSS components. Component risk can enter through dependency vulnerabilities, unsafe defaults, unmaintained packages, parser libraries, or container images.	Risk assessment should classify critical components and define due diligence depth.	Third-party component due diligence; dependency approval; component risk classification; supply-chain review.	OpenChain §3.1-§3.3 SBOM & provenance; §3.6 Third-Party Software Supply Chain Qualification; §5.3 Self-Maintained OSS	Evidence candidates: dependency review records; SBOM; container image review; approved component list.
REQ-CRA-ART13-06A	Article 13(6), first sentence	When identifying a vulnerability in an integrated component, report it to the component manufacturer or maintainer and address/remediate it under Annex I Part II.	TokenStream should route discovered dependency or bundled-component vulnerabilities upstream where appropriate while also assessing and remediating the impact on TokenStream users.	Applicable in voluntary manufacturer-like readiness scope	For a FOSS-heavy stack, many vulnerabilities will originate upstream. TokenStream still needs product-context triage, mitigation, and user communication.	Risk assessment should define which integrated components are in scope and when upstream reporting is appropriate.	Upstream vulnerability coordination; component vulnerability triage; product-context remediation; advisory linkage.	OpenChain §4.1 Vulnerability Monitoring; §4.2 Risk Adjudication; §4.4 Disclosure; §5 OSS Stewardship	Evidence candidates: upstream issue/advisory links; vulnerability register; remediation PRs; advisory notes.
REQ-CRA-ART13-06B	Article 13(6), second sentence	Where the manufacturer develops a software or hardware modification to address an integrated-component vulnerability, share relevant code or documentation with the component maintainer where appropriate, in machine-readable format where appropriate.	TokenStream should contribute fixes, patches, or technical details upstream when it develops dependency or integration fixes that are useful to component maintainers and safe to disclose.	Applicable where TokenStream develops upstream-relevant fixes	Most TokenStream fixes may be product-level configuration or version bumps, but parser/library/container fixes may produce upstream-relevant patches.	Risk assessment and disclosure review should determine when sharing is safe, appropriate, and useful.	Upstream contribution process; patch sharing; coordinated disclosure; machine-readable vulnerability/fix information.	OpenChain §5.1 OSS Contribution & Engagement; §4.4 Disclosure & Regulatory Reporting	Evidence candidates: upstream PRs; patch files; maintainer communication; disclosure timing rationale.
REQ-CRA-ART13-07	Article 13(7)	Systematically document relevant cybersecurity aspects, vulnerabilities known to the manufacturer, relevant third-party information, and update the risk assessment where applicable.	TokenStream should maintain cybersecurity records covering architecture, security requirements, vulnerabilities, third-party reports, decisions, mitigations, releases, and risk-assessment updates.	Applicable in voluntary manufacturer-like readiness scope	This is the evidence backbone for the whole process. Without systematic records, later controls and evidence mapping become guesswork.	Risk assessment should define what information is relevant and when records trigger reassessment.	Cybersecurity recordkeeping; vulnerability register; decision logs; third-party information tracking; risk assessment update trigger.	OpenChain §2.4 Sustainability & Review; §4.1-§4.3 Vulnerability Handling; §7.1 Technical File	Evidence candidates: vulnerability register; decision log; third-party advisory archive; risk assessment update history.
REQ-CRA-ART13-08A	Article 13(8), first subparagraph	When placing on the market and during the support period, ensure vulnerabilities, including components, are handled effectively according to Annex I Part II.	TokenStream should define a support-period vulnerability handling process for product code, dependencies, containers, bundled/optional services, and release artifacts.	Applicable in voluntary manufacturer-like readiness scope	This overlaps with Annex I Part II and gives it a lifecycle boundary. Users need to know when TokenStream vulnerabilities will be monitored and handled.	Risk assessment should define support period scope, supported versions, component coverage, and update channels.	Vulnerability handling lifecycle; support-period scope; component monitoring; remediation process.	OpenChain §4 Vulnerability Handling; §6.1 Support Period & Update Obligations	Evidence candidates: support policy; vulnerability handling policy; release support matrix.
REQ-CRA-ART13-08B	Article 13(8), second to fifth subparagraphs	Determine the support period based on expected use time, user expectations, product nature and intended purpose, relevant law, similar products, operating environment, third-party component support, and proportionality; minimum five years unless expected use is shorter.	TokenStream should define and publish a support period or rolling-release support model for the OSS distribution, including supported versions/images and end-of-support expectations.	Applicable in voluntary readiness; formal minimum conditional on market placement	TokenStream is self-hosted software and may be used in long-lived internal systems. Even if the five-year legal minimum is not asserted for current non-commercial OSS, a clear support model is needed.	Risk assessment should inform expected use time, supported deployment assumptions, and whether a shorter or rolling support model is justified.	Support-period determination; version support matrix; end-of-support policy; proportionality rationale.	OpenChain §6.1 Support Period & Update Obligations; §7.3 User-Facing Docs	Evidence candidates: support period statement; version support matrix; EoS policy; rationale memo.
REQ-CRA-ART13-08C	Article 13(8), seventh subparagraph	Include the information used to determine the support period in technical documentation.	TokenStream should retain the support-period rationale in the technical-file-style evidence package.	Applicable for voluntary technical file; formal obligation conditional on market placement	The support period must be explainable, not just declared, especially if TokenStream uses a rolling-release model or excludes older unsupported versions.	Risk assessment should feed the expected-use and operational-environment rationale.	Support-period rationale; technical documentation; lifecycle evidence retention.	OpenChain §6.1 Support Period; §7.1 Technical File	Evidence candidates: support-period rationale memo; technical file index; release lifecycle policy.
