Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART28-01	Article 28(1)	The EU Declaration of Conformity shall be drawn up by manufacturers under Article 13(12) and state that applicable Annex I essential cybersecurity requirements have been demonstrated.	TokenStream should not draw up an EU DoC in the current non-commercial OSS/no-CE scope; if formal market-placement scope is triggered later, the DoC must be based on completed conformity assessment and final Annex I evidence.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	The user has explicitly excluded actual CE marking. A DoC would be a formal conformity claim and must not be implied by voluntary readiness documents.	Risk assessment supports Annex I demonstration, but legal role and conformity assessment determine whether a DoC is created.	DoC trigger control; conformity claim boundary; no-CE disclaimer; future DoC workflow.	OpenChain §7.3 EU DoC & CE Marking; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates for current scope: no-CE scope statement. Future evidence: finalized conformity assessment record; EU DoC.
REQ-CRA-ART28-02A	Article 28(2), first sentence	The EU DoC shall follow Annex V model structure, contain elements specified by the relevant conformity assessment procedure, be updated as appropriate, and be available in required Member State languages.	TokenStream should keep a future DoC template placeholder only; if formal scope changes, the DoC must follow Annex V, be version-controlled, updated for significant changes, and translated as required.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	Current readiness work should not produce a real DoC, but it may keep a placeholder to show what would be needed if scope changes.	Legal market and conformity route determine language and template requirements; risk assessment determines underlying Annex I content.	DoC template governance; DoC versioning; language requirement tracking; change-triggered DoC update.	OpenChain §7.3 EU DoC & CE Marking; §7.1 Technical File	Evidence candidates if future scope changes: Annex V DoC template; DoC version history; language matrix.
REQ-CRA-ART28-02B	Article 28(2), second sentence	The simplified EU DoC under Article 13(20) shall follow Annex VI model structure and be available in required Member State languages.	TokenStream should not provide a simplified EU DoC in the current no-CE scope; if formal scope changes, a simplified DoC URL/process may be needed for user-facing materials.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	Annex II asks for a DoC URL where applicable, but it is not applicable unless a formal DoC exists.	Legal scope and formal DoC decision determine applicability.	Simplified DoC trigger; DoC URL publication; language requirement tracking.	OpenChain §7.3 User-Facing Documentation; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates if future scope changes: simplified DoC text; full DoC URL; language versions.
REQ-CRA-ART28-03	Article 28(3)	If the product is subject to more than one Union legal act requiring an EU DoC, a single DoC shall identify all relevant Union acts and publication references.	TokenStream should record whether other Union harmonisation legislation requiring a DoC applies; if future scope changes, avoid duplicate/conflicting DoCs by using a single combined DoC where required.	Not applicable in current stated scope unless other Union DoC regime is identified	No other Union DoC regime has been identified for current non-commercial OSS readiness. This remains a legal-scope placeholder.	Risk assessment may reveal security/data contexts, but legal analysis determines other Union harmonisation acts.	Cross-framework legal scope review; single DoC strategy; Union act identification.	OpenChain §8 Cross-Framework; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates: legal scope memo; cross-framework applicability table; future combined DoC.
REQ-CRA-ART28-04	Article 28(4)	By drawing up the EU DoC, the manufacturer assumes responsibility for product compliance.	TokenStream should explicitly state that voluntary readiness artifacts do not assume EU DoC responsibility; if formal scope changes, DoC approval must include accountable sign-off.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	This row prevents accidental overclaiming. A DoC is not just documentation; it is a responsibility assumption.	Legal role and governance decide who can approve a DoC; risk assessment supplies technical basis.	Accountable conformity sign-off; DoC approval authority; no-claim disclaimer.	OpenChain §2.1 CRA Policy; §2.2 Roles & Responsibilities; §7.4 EU DoC & CE Marking	Evidence candidates: no-DoC disclaimer; future sign-off policy; accountable owner record.
REQ-CRA-ART28-05	Article 28(5)	The Commission may add elements to Annex V minimum DoC content by delegated acts.	TokenStream should monitor delegated acts that change DoC content and update any future DoC template accordingly.	Applicable as regulatory monitoring readiness; formal DoC update conditional on legal scope	DoC content may evolve before future formal scope. Keeping a watch item avoids stale templates.	Risk assessment does not determine DoC format; delegated acts and legal scope do.	Regulatory monitoring; DoC template maintenance; delegated-act change review.	OpenChain §2.7 Harmonized Standards Tracking; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates: regulatory watch log; DoC template version history.
REQ-CRA-ART30-01	Article 30(1)	CE marking shall be visible, legible, and indelible; for software, it shall be affixed either to the EU DoC or on an easily/directly accessible website accompanying the software.	TokenStream should not display CE marking in the current no-CE scope; if formal scope changes, software CE display location must be defined, accessible, and tied to the DoC.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	Displaying CE marking would falsely imply formal conformity. The current readiness package must not create that impression.	Legal/conformity scope determines applicability; risk assessment is indirect supporting evidence only.	CE marking trigger control; no-CE publication guard; future CE display location.	OpenChain §7.3 EU DoC & CE Marking; §7.4 EU Declaration of Conformity & CE Marking	Evidence candidates now: no-CE statement. Future evidence: website CE section, DoC link, screenshot.
REQ-CRA-ART30-02	Article 30(2)	CE marking height may be below 5 mm if product nature requires it, provided it remains visible and legible.	TokenStream should mark physical-size CE requirements as not applicable to current software-only/no-CE scope; future digital CE display should still be visible and legible if used.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	No CE marking is used and TokenStream has no physical label.	Not risk-assessment driven; depends on CE marking decision and display medium.	CE display readability; software-only marking rationale.	OpenChain §7.4 EU DoC & CE Marking	Evidence candidates if future scope changes: CE display screenshot; readability check.
REQ-CRA-ART30-03	Article 30(3)	CE marking shall be affixed before market placement and may be followed by pictograms or marks indicating special cybersecurity risk or use where implementing acts define them.	TokenStream should not affix CE marking before a formal conformity route; it should monitor any future cybersecurity pictogram/label implementing acts.	Not applicable to current non-commercial OSS objective; regulatory monitoring applicable	The no-CE scope means no CE affixing. Future labels/pictograms may still matter if scope changes.	Risk assessment may identify special cybersecurity-risk communication needs; implementing acts define formal pictograms/marks.	CE release gate; label/pictogram monitoring; no-premature-marking guard.	OpenChain §2.7 Harmonized Standards Tracking; §7.4 EU DoC & CE Marking	Evidence candidates: no-CE release checklist; regulatory watch log; future CE/pictogram evidence.
REQ-CRA-ART30-04	Article 30(4)	CE marking shall be followed by notified body identification number where a notified body is involved in full quality assurance module H.	TokenStream should mark this not applicable unless a future Module H conformity procedure with notified body is chosen.	Not applicable to current non-commercial OSS objective; legal-scope trigger only	There is no notified body or Module H procedure in the current voluntary readiness scope.	Conformity assessment route determines applicability, not cybersecurity risk alone.	Notified-body route tracking; CE marking metadata; Module H trigger.	OpenChain §7.4 EU DoC & CE Marking	Evidence candidates if future scope changes: notified body ID; Module H certificate; CE display evidence.
