Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART31-01	Article 31(1)	Technical documentation shall contain all relevant data or details of the means used by the manufacturer to ensure that the product and manufacturer processes comply with Annex I, and shall at least contain Annex VII elements.	TokenStream should maintain a technical-file-style evidence package showing how the product and vulnerability-handling processes meet the preliminary and final CRA requirement registers.	Applicable as voluntary technical-file readiness; formal obligation conditional on market placement	The current project does not perform CE marking, but a technical documentation package is the organizing evidence artifact for voluntary CRA readiness and later control/evidence mapping.	Risk assessment determines final applicability, implementation depth, and which evidence is necessary for each Annex I requirement.	Technical file structure; evidence index; requirement-to-evidence traceability; document ownership and versioning.	OpenChain §7.1 Technical File; §2.6 Cybersecurity Risk Assessment; §3.4 Secure Development Properties	Evidence candidates: technical file index; requirement registers; control/evidence matrix; architecture docs; SBOM; security test reports.
REQ-CRA-ART31-02	Article 31(2)	Technical documentation shall be drawn up before market placement and continuously updated where appropriate, at least during the support period.	TokenStream should create the technical-file-style package before any voluntary certification claim or release-readiness assertion, and update it for major releases, risk-assessment changes, vulnerability-handling changes, support-period changes, and significant architecture changes.	Applicable as voluntary readiness; formal timing obligation conditional on market placement	For readiness work, the technical file must be built before final control sign-off, not after the fact. TokenStream changes through services, policies, providers, MCP, ingestion, dependencies, and containers.	Risk assessment should define update triggers and review cadence.	Technical documentation lifecycle; change-triggered updates; support-period documentation maintenance; release evidence retention.	OpenChain §2.4 Sustainability & Review; §7.1 Technical File; §6.1 Support Period	Evidence candidates: document version history; release checklist; update trigger list; technical file custodian.
REQ-CRA-ART31-03	Article 31(3)	For products also subject to other Union legal acts requiring technical documentation, draw up a single set of technical documentation containing Annex VII information and information required by those acts.	TokenStream should record whether any other Union legal acts requiring technical documentation are in scope; if future scope changes, the CRA technical file should be integrated rather than duplicated.	Not applicable in current stated scope unless other legal-act scope is identified	TokenStream is being assessed as open-source, non-commercial software readiness. No other Union technical-documentation act has been identified for the current scope.	Risk assessment may identify AI/data/security contexts, but legal analysis determines whether another Union technical-documentation regime applies.	Cross-framework scope review; single technical file strategy; legal trigger tracking.	OpenChain §8 Cross-Framework; §7.1 Technical File	Evidence candidates: legal scope memo; cross-framework applicability assessment; single-file index if future scope changes.
REQ-CRA-ART31-04	Article 31(4)	Technical documentation and conformity-assessment correspondence shall be drawn up in an official language of the notified body's Member State or a language acceptable to that body.	TokenStream should keep current voluntary certification/readiness documents in English; if a notified body is used in future, confirm accepted language before formal submission.	Applicable as language-readiness note; formal notified-body obligation conditional on conformity procedure	There is no notified body in the current no-CE scope, but the user has decided that certification documents are in English.	This is not driven by cybersecurity risk; it is driven by conformity-assessment route and notified-body acceptance.	Documentation language policy; formal submission language trigger.	OpenChain §7.1 Technical File; §7.4 EU DoC & CE Marking	Evidence candidates: documentation language decision; future notified-body language confirmation if applicable.
REQ-CRA-ART31-05	Article 31(5)	Commission may add elements to Annex VII technical documentation by delegated acts to account for technological and implementation developments, with proportionate burden for microenterprises and SMEs.	TokenStream should monitor delegated acts and update the technical-file template when Annex VII content expectations change.	Applicable as regulatory monitoring readiness	Technical documentation content may evolve. A static template could become stale before future formal scope or certification claim.	Risk assessment may indicate which evidence is security-relevant, but delegated acts determine added formal content.	Regulatory monitoring; technical file template maintenance; delegated-act change review.	OpenChain §2.7 Harmonized Standards Tracking; §7.1 Technical File	Evidence candidates: regulatory watch log; technical-file template version history; change-impact notes.
REQ-CRA-ANNVII-00	Annex VII, chapeau	Technical documentation shall contain at least the listed information, as applicable to the relevant product.	TokenStream should treat Annex VII as the minimum evidence table of contents, with explicit applicability decisions for software-only, OSS, self-hosted deployment, no-CE current scope, and optional services.	Applicable as voluntary technical-file table of contents	The phrase "as applicable" requires product-context decisions. TokenStream has software-only elements, optional services, and no hardware marking/photos.	Risk assessment and legal scope determine what is applicable and how much detail is required.	Annex VII table of contents; applicability marking; evidence completeness review.	OpenChain §7.1 Technical File	Evidence candidates: Annex VII checklist; applicability rationale register; evidence owner list.
REQ-CRA-ANNVII-01A	Annex VII (1)(a)	Technical documentation shall include a general product description including intended purpose.	TokenStream should document that it is an open-source AI orchestration and retrieval runtime for self-hosted deployments behind client applications, including intended workflows and non-goals.	Applicable in voluntary readiness scope	Intended purpose anchors risk assessment, foreseeable use, user instructions, and Annex I applicability.	TokenStream risk assessment should use this intended purpose as the baseline for threat scenarios and misuse analysis.	Product description; intended use; non-goals; deployment model definition.	OpenChain §2.5 Product Assessment; §2.6 Cybersecurity Risk Assessment; §7.1 Technical File	Evidence candidates: README; overview docs; product scope statement; architecture summary.
REQ-CRA-ANNVII-01B	Annex VII (1)(b)	Technical documentation shall include versions of software affecting compliance with essential cybersecurity requirements.	TokenStream should identify versions that affect cybersecurity compliance, including product version, Git commit/tag, service image tags/digests, Python/npm dependency lockfiles, base images, Qdrant/MinIO/TEI/Open WebUI versions, and configuration schema versions.	Applicable in voluntary readiness scope	Version traceability is required for vulnerability handling, advisories, SBOMs, reproducing evidence, and determining affected deployments.	Risk assessment should identify which software components are security-relevant and must be version-tracked.	Version inventory; release traceability; dependency and image version tracking; configuration versioning.	OpenChain §3.1 SBOM Generation; §3.3 Provenance & Integrity; §7.1 Technical File	Evidence candidates: version.txt; Git tags; image digests; SBOM; lockfiles; release manifest.
REQ-CRA-ANNVII-01C	Annex VII (1)(c)	For hardware products, technical documentation shall include photographs or illustrations showing external features, marking, and internal layout.	TokenStream should record this as not applicable because the assessed product is software-only; architecture diagrams may still be included under Annex VII (2)(a).	Not applicable in current software-only TokenStream scope	TokenStream has no physical hardware product, packaging, physical marking, or internal hardware layout.	Risk assessment does not make this applicable unless product scope changes to hardware or embedded distribution.	Hardware-scope exclusion; software-only rationale.	OpenChain §7.1 Technical File	Evidence candidates: software-only scope statement; N/A rationale.
REQ-CRA-ANNVII-01D	Annex VII (1)(d)	Technical documentation shall include user information and instructions as set out in Annex II.	TokenStream should include or reference secure installation, configuration, operation, update, support-period, vulnerability reporting, data deletion, and integrator instructions.	Applicable in voluntary readiness scope	Self-hosted security depends heavily on operator choices such as exposed ports, secrets, provider credentials, MCP tools, uploads, and reverse proxy/TLS configuration.	Risk assessment should identify security-critical operator instructions and foreseeable misuse.	Secure user documentation; Annex II mapping; operator hardening guidance; integrator guidance.	OpenChain §7.3 User-Facing Documentation; §7.2 Downstream Customer Provisioning	Evidence candidates: README; quickstart; operate guide; security configuration guide; Annex II checklist.
